ALGO AENO LSST SRNA ELLT AMRP OTCS HETT HUXZ DUCT SMAH NPCK MSDP EORC CUBO HRET ANSO DIHO RTTH SPLZ NWIG MMBT MDGI AGVF RRES CTGI ALUT ACAC SRTX GARI RCRI ACIX CCNS MTNS IHOZ NAYO FWWG EELT HRND AETS ULXY BLBT BENI ITPA HTRK NGTE ILVX FCSG FARS MHRM EAFC
97.81 105.13 99.88 119.13 71.41 22.83 13.98 69.38 90.78 17.64 44.72 15.53 34.93 33.67 127.20 47.62 48.49 11.37 42.71 89.51 103.24 76.02 181.03 118.54 36.19 85.39 20.48 78.76 304.63 15.63 60.11 18.23 25.24 20.46 135.02 32.88 31.87 87.57 19.56 24.59 51.38 44.91 29.06 20.86 10.13 51.40 32.28 27.02 52.41 18.40 34.69
98.92 107.10 99.67 120.67 73.43 23.59 14.43 70.17 89.22 17.84 43.18 15.62 34.90 34.31 130.18 48.48 47.42 11.54 41.44 92.69 103.77 77.62 189.19 120.00 36.18 88.39 21.01 79.64 310.26 15.93 59.08 18.78 26.03 21.25 133.83 34.51 32.02 86.30 19.04 24.89 51.96 45.39 29.08 21.36 10.25 53.96 32.48 26.72 51.41 18.79 34.82
98.37 106.43 97.00 122.14 73.26 22.77 13.95 70.11 87.84 17.75 43.23 15.12 34.77 33.66 127.94 48.12 47.60 11.55 39.75 94.02 107.04 79.68 192.30 120.21 36.71 85.83 21.49 77.80 298.49 16.05 59.63 18.79 26.19 20.56 131.21 35.38 31.68 85.34 18.89 24.23 48.31 45.21 28.68 21.38 10.16 54.55 32.17 27.06 51.84 18.97 36.45
98.75 106.95 97.40 121.56 73.59 23.11 13.09 69.10 89.16 17.79 44.60 14.84 34.42 32.64 127.35 47.99 47.78 11.39 40.99 92.40 105.95 84.06 193.41 120.15 38.69 86.72 21.51 78.73 293.53 15.58 61.38 18.70 25.91 20.76 133.87 36.74 31.85 88.99 18.90 23.24 47.79 45.66 28.57 21.58 10.18 54.58 32.40 28.24 51.52 18.97 36.61
99.32 108.16 94.82 121.03 74.32 23.08 13.03 69.99 89.71 17.79 43.67 14.44 33.66 32.63 132.36 48.47 48.70 11.18 41.15 95.58 108.23 85.65 196.52 118.22 39.22 89.90 21.07 78.52 301.78 16.05 60.01 18.60 26.24 20.60 134.43 37.38 32.06 92.83 19.64 24.43 47.17 46.56 28.35 22.13 10.08 53.68 32.76 27.22 51.89 19.54 36.85
100.15 107.58 97.57 120.98 74.04 23.61 13.19 70.42 89.23 18.35 42.60 14.40 32.74 32.07 131.85 47.85 49.71 11.34 42.14 100.95 111.07 86.54 198.68 121.53 39.76 94.30 20.42 79.95 311.61 15.77 59.71 18.26 25.74 20.53 134.70 39.33 32.22 97.85 20.06 24.29 48.20 46.87 28.25 22.06 10.22 55.33 32.79 26.83 52.91 19.87 36.85
100.35 104.78 96.35 120.83 75.20 23.83 13.58 69.76 89.06 18.81 42.98 14.47 32.81 31.46 131.67 46.61 48.51 11.12 44.10 100.67 110.28 87.04 200.64 119.63 41.34 98.56 20.83 76.72 317.94 15.99 56.62 18.50 25.56 20.08 134.85 40.41 32.65 96.31 20.13 24.99 49.47 47.11 27.97 22.29 10.13 55.18 32.44 26.80 53.23 20.01 36.75
99.50 104.63 93.47 120.05 75.99 25.12 13.03 70.10 86.40 18.12 42.56 14.83 33.23 32.20 131.69 45.83 47.91 11.05 42.40 97.48 109.46 81.29 202.99 120.21 40.79 100.43 20.88 77.42 316.35 15.84 56.87 18.31 25.96 20.16 136.20 37.32 32.57 92.65 20.56 23.92 48.69 47.45 27.88 21.67 10.08 54.11 32.38 26.37 52.48 19.56 36.83
98.82 103.32 92.05 119.17 74.75 23.74 12.65 70.18 82.57 17.59 43.09 14.93 33.27 32.66 133.61 45.73 47.58 10.97 41.05 93.37 109.78 76.03 203.67 120.21 41.21 100.03 20.63 77.79 319.61 15.70 56.32 18.27 25.89 19.68 134.16 35.63 32.10 95.13 20.73 23.57 50.71 47.09 27.82 21.58 10.41 53.41 32.35 25.60 53.17 19.67 37.22
98.45 105.20 92.38 117.00 75.65 23.10 12.73 69.70 80.08 18.02 42.71 14.95 33.09 32.27 132.82 44.69 47.29 10.73 42.09 97.22 110.38 73.42 201.70 118.94 41.45 95.06 20.37 76.72 323.02 15.80 53.76 18.27 26.42 19.90 135.44 34.09 33.18 92.84 20.08 23.43 51.78 47.87 28.50 21.69 10.36 54.71 32.79 25.17 52.66 19.36 36.41
98.98 102.67 94.70 116.33 75.79 23.02 12.61 69.73 81.28 18.84 43.43 14.90 33.85 32.15 135.23 43.67 48.03 10.79 41.08 98.62 112.12 74.59 200.97 117.80 41.03 95.33 20.66 76.00 316.62 16.04 54.33 18.77 25.79 19.70 133.80 34.33 33.47 92.75 19.96 23.96 54.28 47.74 28.10 21.88 10.55 55.47 33.08 25.61 54.53 19.97 36.37
99.47 101.98 93.31 113.30 76.97 23.23 13.15 70.24 78.57 19.21 45.20 15.01 33.60 32.57 132.34 44.78 46.94 10.69 43.00 97.45 112.54 79.29 198.40 118.52 41.66 100.94 20.60 74.87 313.41 16.07 57.44 18.54 25.55 19.50 132.40 35.33 34.04 95.45 20.55 24.70 54.97 48.12 27.93 22.00 10.37 56.73 32.48 25.08 53.89 18.98 36.11
98.86 100.02 94.03 112.22 76.93 22.71 13.50 70.59 80.93 18.83 45.29 15.24 34.44 33.73 133.58 42.53 46.88 10.50 41.00 97.37 109.32 82.77 202.13 122.01 41.61 98.17 20.06 74.72 313.78 15.61 56.81 18.55 24.58 19.68 130.52 34.49 33.25 91.26 20.98 26.34 53.47 47.18 27.71 21.80 10.23 55.64 32.44 24.02 52.57 19.05 36.36
97.67 98.46 92.50 110.07 75.57 22.04 13.20 71.98 77.72 18.50 44.46 14.70 34.29 33.62 135.26 41.48 46.49 10.60 42.35 93.17 108.40 82.01 197.24 118.80 42.09 91.55 19.59 74.42 307.07 15.61 53.87 18.61 24.44 19.39 127.64 32.45 33.02 94.63 21.31 26.72 53.65 46.23 27.63 21.46 10.38 54.15 32.18 24.29 52.24 18.64 35.27
98.41 103.91 91.96 110.12 75.06 21.40 13.28 73.39 76.30 18.50 44.15 14.78 34.48 34.20 138.00 43.36 47.20 10.70 44.42 97.23 107.87 81.93 203.31 120.00 41.96 92.44 20.06 73.85 299.43 15.62 56.36 18.63 25.20 19.44 129.48 33.58 33.19 92.11 21.77 26.89 54.59 46.07 27.79 21.28 10.51 53.00 32.05 24.47 52.07 18.50 34.80
98.98 104.65 90.31 113.71 76.64 21.66 13.96 75.67 78.32 18.98 44.46 14.97 34.88 34.58 142.86 43.83 47.90 10.67 40.38 95.31 110.73 85.01 204.24 121.63 42.75 89.15 20.43 73.46 297.72 15.72 56.62 18.23 25.92 19.35 131.94 31.49 34.43 90.30 20.93 25.79 53.75 47.58 28.66 21.96 10.59 54.65 32.66 24.26 51.81 18.57 34.77
99.04 105.34 86.99 112.99 74.99 21.56 13.69 74.79 79.46 18.70 44.66 15.03 34.44 34.07 142.24 42.58 46.95 10.90 40.39 97.33 108.50 87.25 205.94 125.63 42.52 83.59 21.25 74.03 295.21 16.43 56.54 18.35 25.91 19.28 133.18 32.79 34.40 91.49 21.64 25.71 52.46 47.76 28.31 21.86 10.57 54.83 32.36 24.81 52.54 18.94 34.34
97.48 105.36 84.46 110.94 74.43 20.67 13.84 73.50 77.18 18.36 43.92 14.53 33.51 33.74 141.31 41.38 46.39 10.44 38.31 89.94 109.81 83.80 202.71 123.07 41.55 81.78 20.99 72.95 297.87 16.65 55.29 18.09 25.42 18.57 129.91 33.08 34.14 89.59 22.23 24.65 53.85 47.30 27.25 21.26 10.24 56.07 31.98 25.27 52.88 18.58 32.93
98.04 105.47 87.40 112.07 75.25 20.09 13.48 72.77 75.29 18.90 43.35 14.73 33.71 34.39 142.41 40.44 46.52 10.41 39.04 88.03 109.97 87.57 201.40 119.95 41.55 82.69 20.83 74.26 301.53 16.83 56.73 18.09 25.59 18.74 134.44 33.24 33.62 93.02 21.92 25.38 57.26 46.62 27.57 21.50 10.33 55.11 32.13 25.00 51.93 19.11 33.67
97.54 104.43 86.18 111.43 75.23 19.99 14.14 73.23 73.97 18.34 44.13 14.88 33.60 34.18 142.17 38.02 47.07 10.77 40.34 86.69 106.73 87.86 199.99 114.98 42.10 82.44 20.73 72.68 302.63 16.20 56.66 18.13 24.58 19.01 133.67 34.34 33.38 92.48 22.56 24.13 57.01 45.62 27.15 21.64 10.45 56.02 31.67 24.78 50.10 18.33 32.17
96.99 103.48 85.83 108.36 75.46 19.57 13.79 73.30 75.18 18.05 44.01 14.87 34.15 34.16 146.97 38.12 45.35 10.45 40.45 83.38 109.41 93.84 201.80 114.62 42.36 83.67 19.92 69.50 305.14 15.56 54.06 18.11 23.53 18.93 132.50 33.83 33.35 93.66 21.69 23.52 57.72 45.54 27.13 21.57 10.55 56.52 31.72 24.19 50.21 18.28 31.18
98.05 104.71 87.60 112.88 77.42 19.81 13.91 73.17 76.63 18.30 45.94 15.05 34.14 35.12 146.92 38.28 46.15 10.48 41.09 79.87 109.71 89.19 204.86 114.49 44.05 85.41 19.77 71.29 298.36 15.70 54.37 18.06 24.29 19.36 131.14 35.06 33.76 92.21 22.05 23.88 58.93 46.07 27.50 21.93 10.69 57.69 32.22 24.75 51.08 18.28 32.23
98.38 105.01 87.41 114.21 77.09 19.57 13.80 74.98 77.00 18.59 45.66 15.47 34.75 34.72 149.79 36.69 44.33 10.28 41.39 82.34 113.45 89.62 208.01 116.65 42.66 85.20 20.04 72.52 297.13 15.99 54.09 18.27 24.76 20.08 132.96 35.46 34.33 89.84 22.43 23.61 57.51 46.72 27.71 22.10 10.73 57.05 32.64 23.52 51.60 18.43 32.52
98.69 105.82 85.78 117.03 76.60 20.16 14.39 74.97 78.63 18.89 47.16 15.73 35.22 33.78 151.26 37.97 44.57 10.17 40.52 86.68 115.00 94.82 218.21 117.35 41.60 83.90 19.90 71.76 301.46 15.44 50.18 18.50 25.07 20.20 132.73 34.45 35.05 82.02 22.15 23.99 59.34 46.54 27.86 22.53 10.79 57.62 32.90 22.52 51.54 18.21 32.73
99.84 111.02 86.01 119.07 77.27 20.74 14.45 77.21 78.26 18.35 47.32 15.84 35.45 33.50 153.09 37.64 45.51 10.32 41.79 88.29 115.21 98.17 216.91 118.10 41.50 86.31 19.82 74.67 321.81 15.61 53.48 18.20 25.33 20.09 134.09 34.06 34.81 81.32 22.32 24.94 61.15 46.73 28.40 22.62 10.99 58.63 33.10 22.75 51.85 17.94 33.67
98.58 107.66 84.30 119.32 76.12 20.94 14.27 76.94 77.32 18.24 46.59 15.82 34.35 33.38 149.44 37.98 44.75 10.25 41.70 88.60 117.24 90.79 217.48 117.15 40.54 84.37 19.66 70.65 326.66 15.52 51.79 17.74 24.57 19.87 134.83 33.35 33.60 80.87 22.94 24.94 59.94 46.59 28.18 22.41 10.80 57.93 32.87 22.55 51.01 17.35 33.36
99.88 108.73 83.89 119.17 76.92 20.06 14.48 76.48 77.36 18.44 47.39 15.80 35.14 33.64 150.74 38.15 44.57 10.82 40.39 94.38 118.79 88.51 222.82 122.14 42.79 85.32 19.99 69.41 322.63 15.87 54.09 18.12 24.85 20.23 129.45 33.14 34.08 83.91 23.29 23.46 66.70 46.85 28.21 22.70 10.67 58.36 32.96 23.87 52.61 18.21 34.57
100.59 109.73 83.88 118.46 78.95 20.22 14.73 77.92 76.12 18.45 46.81 16.11 35.41 34.46 147.55 38.45 44.75 10.69 40.50 94.86 116.69 86.95 231.90 121.56 44.24 86.17 19.80 71.68 316.82 16.71 54.58 18.45 24.09 20.38 131.86 32.79 33.70 84.36 24.29 25.58 65.15 47.53 28.22 22.88 10.80 59.30 33.11 23.59 52.94 18.84 34.64
99.89 110.14 83.04 120.67 78.55 20.24 14.53 79.02 75.60 18.57 47.24 16.09 35.11 33.83 145.82 39.08 45.55 11.02 40.40 90.11 117.53 88.41 222.02 119.36 43.30 85.12 18.99 72.54 313.23 16.47 54.69 18.12 22.71 20.59 132.19 32.59 33.69 81.85 23.49 25.85 63.83 46.50 28.80 22.85 11.07 57.20 33.81 23.27 52.64 18.88 34.11
99.60 111.67 82.22 117.33 77.02 20.26 14.15 78.76 74.34 18.29 47.35 16.38 33.99 33.70 143.75 38.76 46.98 10.65 39.31 89.71 117.37 94.78 229.44 121.17 43.34 84.08 18.73 73.23 319.56 16.20 55.71 17.95 21.85 20.12 134.45 32.21 33.58 84.62 24.47 25.22 61.98 46.83 28.27 22.52 10.97 55.79 33.98 22.88 51.64 19.03 33.88
98.94 109.47 80.76 119.08 75.16 19.54 13.84 79.42 76.33 18.29 46.46 15.98 33.94 34.08 143.63 38.36 45.44 10.70 38.36 91.67 116.44 92.14 223.66 118.99 42.43 82.79 18.35 72.68 321.45 16.47 56.19 17.57 21.12 20.00 132.97 32.82 34.04 86.24 24.93 25.09 60.41 47.24 28.20 22.26 10.72 56.25 33.82 23.25 52.03 19.08 33.58
98.01 106.98 80.52 117.39 75.56 19.98 13.54 79.23 75.25 18.22 46.59 15.70 33.12 34.19 141.69 38.28 44.79 10.17 38.86 90.83 118.11 92.01 223.15 120.49 42.29 80.73 17.29 71.51 311.69 15.82 57.83 17.62 20.68 19.93 133.61 32.67 34.25 82.42 25.22 24.49 59.23 45.90 28.15 21.97 10.44 55.72 33.80 22.84 52.21 19.09 33.87
98.39 108.78 82.73 116.86 75.96 20.58 13.30 79.88 75.08 18.71 46.91 15.38 33.24 35.23 141.98 36.96 45.88 10.14 39.85 92.30 115.81 93.04 221.23 120.11 43.31 80.51 17.36 71.27 310.87 15.27 60.72 18.13 20.99 19.43 125.77 32.77 34.97 80.85 26.90 25.28 55.75 45.89 28.39 22.24 10.46 56.85 33.88 23.43 53.52 18.21 34.08
98.57 110.21 82.27 118.18 75.75 21.80 13.56 80.98 77.73 18.65 45.73 15.21 33.71 34.68 143.71 37.15 44.88 10.11 40.08 89.78 114.80 93.09 223.56 120.93 42.70 77.11 17.55 71.79 306.51 15.62 57.19 18.40 21.20 19.46 125.16 33.36 34.25 82.47 27.61 25.96 55.27 45.61 28.62 22.17 10.80 56.17 34.20 23.44 52.85 18.16 34.95
98.14 113.40 80.94 116.65 74.87 21.32 13.67 80.39 76.47 18.31 45.16 15.33 34.18 35.34 138.15 37.60 44.60 10.16 40.60 91.03 118.25 83.50 226.40 120.39 43.52 76.94 17.29 70.33 303.78 15.79 57.45 18.28 21.02 19.81 124.91 32.68 34.21 79.72 28.09 26.60 54.43 45.31 28.17 21.90 10.56 55.95 33.91 23.42 53.64 18.32 35.59
97.92 112.52 80.86 120.48 74.80 21.62 14.20 79.48 77.24 17.92 45.08 15.43 34.40 34.60 138.45 37.93 44.77 9.92 38.21 89.44 119.23 80.22 221.13 118.79 43.13 77.90 17.41 71.97 308.62 15.70 53.42 18.64 21.29 19.91 124.08 32.47 34.40 79.92 29.28 25.71 56.04 44.82 28.08 21.67 10.72 55.79 34.12 23.83 53.95 17.77 34.24
98.64 115.52 79.98 118.46 77.13 21.43 14.51 79.79 78.56 18.69 46.41 15.54 33.73 34.91 135.99 37.54 44.95 10.21 36.23 88.26 121.36 80.97 227.11 120.01 43.49 79.40 16.84 71.25 308.04 15.94 54.39 18.75 21.46 20.12 126.51 32.98 35.12 81.53 29.31 26.85 56.57 44.89 27.98 22.36 10.85 56.24 33.50 24.66 53.65 17.55 34.01
97.87 116.20 78.85 115.21 77.80 22.41 15.23 79.00 78.08 18.51 46.08 15.54 33.45 34.27 136.02 36.84 44.65 9.98 35.16 83.95 119.52 82.92 226.22 118.99 42.08 81.51 16.28 70.08 300.71 16.26 53.92 18.65 21.40 19.75 125.93 33.52 35.17 80.91 29.48 25.64 52.96 45.48 27.32 22.10 11.07 54.46 33.61 24.95 53.05 17.18 32.55
97.30 114.82 79.05 112.96 79.93 21.90 15.24 78.89 78.31 18.56 46.03 15.15 32.32 33.63 136.71 37.47 43.91 10.15 33.97 80.74 122.63 82.92 232.31 118.18 41.88 82.58 16.07 70.41 309.40 15.88 52.84 18.39 21.20 19.06 127.70 33.12 34.64 81.23 28.97 24.78 51.13 45.11 27.10 21.93 11.16 54.60 33.51 24.62 52.53 16.98 32.10
98.64 118.35 82.50 113.41 84.14 22.45 15.59 78.93 77.87 19.58 46.43 15.28 32.84 34.63 140.18 38.14 43.76 10.06 33.03 79.18 122.35 80.48 231.99 118.19 41.85 85.81 16.35 70.57 312.14 16.28 55.42 18.37 21.87 19.51 127.91 32.93 35.61 85.97 27.77 27.89 53.91 45.94 27.16 22.06 11.53 54.87 33.96 24.44 53.21 16.85 32.15
98.99 118.52 81.25 111.01 84.78 22.25 15.59 78.03 76.19 19.59 45.78 15.06 33.04 33.93 138.25 37.87 43.81 10.21 32.77 81.02 123.40 80.65 236.37 118.54 43.18 86.28 16.09 70.31 300.78 16.07 56.29 18.39 20.93 19.87 126.95 34.54 35.57 86.34 29.83 29.66 54.80 45.91 27.05 22.41 11.65 56.28 33.95 24.64 52.22 17.39 32.64
99.47 119.65 81.10 112.35 85.67 21.81 15.23 78.08 75.98 19.66 46.29 14.95 34.18 33.63 139.76 37.85 43.67 10.02 32.34 84.20 125.16 79.34 234.06 118.73 41.75 84.86 16.25 72.96 311.26 15.92 57.18 18.79 20.74 20.65 128.71 35.43 36.37 88.55 30.66 29.94 54.26 45.25 27.23 22.38 11.67 55.38 34.29 25.15 52.22 17.49 32.85
97.65 115.75 79.62 109.75 85.55 22.18 14.79 74.80 73.44 18.94 44.59 14.48 33.71 32.28 134.16 37.97 42.99 10.31 32.32 82.50 121.29 80.78 222.12 118.25 41.48 88.42 16.24 70.25 298.73 15.79 58.62 18.06 20.35 19.52 125.40 35.56 35.49 88.95 31.01 28.94 52.48 45.00 26.98 21.70 11.42 54.28 33.50 24.18 51.25 17.41 31.56
95.72 114.54 80.03 109.34 82.40 21.01 14.68 73.15 71.41 18.67 43.82 14.67 33.39 30.96 135.27 37.83 42.77 10.08 31.69 78.62 119.39 72.67 218.56 118.16 38.75 83.57 15.94 68.14 303.96 15.58 53.95 17.47 19.70 19.96 126.00 33.76 35.15 84.95 29.94 28.02 52.80 43.76 27.17 21.49 11.27 56.05 33.39 24.34 50.70 16.82 31.51
94.80 113.57 78.21 110.83 79.45 20.08 15.02 72.12 72.57 19.01 45.16 14.58 33.68 30.39 135.98 37.74 42.85 10.03 30.94 79.46 119.28 74.56 218.41 117.51 38.16 80.37 15.77 66.86 293.88 15.18 52.37 16.89 19.41 19.63 125.17 33.84 34.24 83.10 28.22 27.67 52.09 43.41 27.10 20.95 11.37 56.18 32.86 24.20 49.48 17.02 31.95
94.80 114.56 81.32 110.05 80.31 20.73 15.33 73.48 70.53 19.46 46.31 14.90 32.50 31.13 136.99 38.26 43.41 9.94 30.59 79.01 117.06 72.59 217.53 118.08 36.47 78.36 15.63 68.42 297.67 14.93 48.85 16.60 19.26 19.63 130.47 33.07 33.86 81.27 27.92 27.87 52.38 43.51 27.38 20.63 11.48 56.43 33.70 24.08 49.19 17.08 32.99
95.14 114.52 83.20 108.04 80.60 20.74 15.11 72.05 71.74 19.59 45.75 14.86 33.00 31.67 137.50 38.83 42.85 10.17 31.64 79.81 113.17 77.76 216.27 119.17 37.16 81.28 15.47 66.15 293.81 15.10 48.04 16.54 19.06 19.27 128.92 33.27 34.18 78.37 28.77 29.34 52.58 43.73 27.46 20.59 11.66 57.27 33.53 24.60 49.21 17.12 33.98
97.33 114.39 85.32 108.77 82.17 21.67 14.99 74.08 71.88 19.52 46.30 14.94 32.45 31.80 138.34 41.09 43.19 10.26 33.49 80.17 117.95 83.04 223.42 124.27 39.09 81.50 15.63 66.72 306.76 15.09 51.66 16.69 19.06 19.50 131.06 34.12 34.70 83.96 28.97 29.91 57.01 44.24 27.91 20.91 12.06 58.66 34.49 25.53 49.38 17.96 34.81
99.33 117.53 88.99 111.48 83.75 22.26 15.46 76.05 76.19 20.42 45.75 14.83 33.51 32.48 142.76 41.73 43.12 10.35 34.65 80.91 117.01 81.75 228.68 129.33 39.20 81.22 15.82 68.35 307.19 15.69 55.68 17.21 19.45 20.10 134.86 35.38 35.65 87.03 29.59 29.72 55.75 44.59 28.43 21.11 12.48 59.27 34.81 26.02 50.12 18.80 36.24
99.44 117.20 86.12 108.15 85.83 23.31 15.04 75.41 76.80 20.26 46.57 14.56 33.44 33.48 140.06 42.58 43.76 10.22 34.36 80.18 118.35 80.85 236.40 128.92 39.58 85.39 15.79 68.55 297.07 15.92 52.81 17.46 19.09 20.93 136.85 35.72 35.45 83.87 29.34 29.32 55.52 44.33 28.12 21.27 12.75 60.05 34.64 26.18 49.90 18.64 36.48
99.06 116.99 82.90 103.50 85.07 23.31 14.45 75.17 75.59 20.44 47.08 14.60 33.23 32.80 137.39 42.37 42.96 10.18 33.80 82.79 115.93 79.60 241.00 125.95 40.38 86.18 15.72 66.70 293.27 16.15 51.50 17.62 18.67 20.46 137.09 38.06 35.81 87.97 30.00 29.60 53.30 43.74 27.84 21.41 12.33 58.95 34.25 26.77 49.37 18.67 36.98
99.76 119.84 83.31 103.24 86.01 24.22 14.58 75.34 75.55 20.64 45.91 14.74 33.73 33.07 138.00 42.71 41.54 10.18 34.67 85.16 120.07 78.43 236.43 128.77 41.08 87.66 16.19 67.76 288.63 15.85 51.21 18.20 18.14 20.62 133.66 38.49 36.26 92.32 30.87 30.46 52.17 44.47 28.15 21.55 12.23 61.27 34.85 26.37 49.60 18.46 37.25
99.99 117.52 84.40 102.59 82.53 24.18 15.03 75.11 74.69 21.01 46.57 14.52 34.55 32.91 134.67 42.60 41.46 10.04 35.22 89.67 116.00 85.18 241.74 124.53 42.19 91.72 16.04 68.19 287.71 15.67 53.39 17.95 18.67 20.22 133.33 40.72 35.01 92.18 30.87 29.32 53.64 44.81 27.97 21.51 12.00 59.23 34.66 26.71 48.13 18.58 37.56
99.77 113.84 83.61 101.81 79.07 23.25 15.09 75.57 77.97 20.79 45.68 14.03 34.63 33.05 132.67 42.85 41.76 9.88 33.38 91.28 119.61 85.94 245.06 124.24 40.87 93.14 16.01 66.95 282.06 16.09 51.87 17.82 18.92 19.63 137.53 41.87 34.31 90.28 30.45 29.09 55.07 43.81 28.04 21.51 12.24 59.46 34.35 27.60 47.94 19.46 37.51
98.33 112.24 80.97 101.51 77.96 23.31 15.47 75.59 74.61 20.90 45.23 13.63 33.23 32.56 132.95 42.53 42.21 9.76 32.56 89.79 120.01 82.16 239.41 123.29 40.57 91.41 15.83 66.29 275.43 15.52 51.31 17.56 18.93 19.22 137.83 41.67 34.11 89.52 30.26 27.27 55.25 42.79 27.43 21.13 11.79 59.42 34.53 26.49 46.90 18.45 36.77
97.60 112.39 78.92 103.12 79.02 22.54 16.09 75.05 75.34 20.59 45.30 13.46 32.92 33.14 130.09 42.34 41.59 9.78 32.15 90.79 116.86 82.44 238.13 126.92 40.89 82.44 16.36 64.83 279.43 15.20 51.14 17.63 19.27 18.68 138.53 38.16 33.70 88.92 30.86 26.90 50.99 42.80 27.00 21.00 11.74 58.08 33.83 27.01 47.29 18.65 37.11
96.03 110.76 78.67 103.00 76.79 22.11 15.65 73.75 74.93 20.31 45.53 13.42 31.68 32.91 128.10 42.70 40.84 9.82 34.35 88.03 117.28 78.06 232.53 125.10 40.88 79.80 16.12 63.61 275.74 15.17 50.03 17.61 18.51 17.83 134.03 35.98 33.46 85.35 31.80 25.29 49.37 42.67 26.66 20.62 11.46 56.11 33.44 26.77 46.68 18.38 36.54
95.61 110.18 78.85 104.03 75.43 23.12 15.52 72.88 75.43 19.93 46.25 13.49 30.53 31.67 130.49 42.55 41.24 9.80 34.58 86.66 117.14 73.00 229.68 123.41 41.41 79.44 15.70 62.51 278.70 14.86 51.33 17.10 18.94 18.45 132.82 35.82 33.32 88.72 31.79 25.47 50.30 42.47 27.15 20.06 11.46 55.29 33.05 24.82 47.98 18.37 35.78
97.00 111.11 79.59 104.28 76.60 23.60 16.16 75.01 77.02 19.91 47.83 13.40 30.62 32.57 131.72 43.25 41.80 10.17 32.83 87.50 117.17 77.07 238.13 127.43 43.78 83.39 15.20 62.63 288.49 15.02 52.40 17.37 18.66 18.81 134.11 35.74 33.68 87.96 33.24 25.23 51.81 43.17 27.11 20.32 11.74 54.79 33.49 24.51 47.52 18.28 36.50
97.53 108.63 79.57 105.21 79.30 22.92 16.15 74.49 77.99 20.02 46.62 13.39 30.44 32.36 133.88 43.51 41.60 10.56 33.44 85.50 117.87 77.42 231.20 127.05 45.45 85.65 15.03 63.59 285.55 15.36 54.12 17.70 18.82 18.83 133.30 35.08 33.48 90.60 33.28 25.70 55.51 43.11 27.45 20.87 11.68 53.94 33.63 24.82 46.98 18.31 37.54
98.65 111.67 82.18 105.18 82.06 23.46 16.82 76.64 80.45 20.65 47.50 13.10 30.44 32.68 135.09 43.70 41.53 10.48 35.09 85.95 115.49 75.66 232.31 129.02 47.05 90.81 15.02 64.17 289.59 15.76 53.12 18.07 18.82 18.85 134.11 34.47 34.58 88.42 34.07 27.24 52.00 43.05 27.68 21.30 11.85 54.10 33.92 26.13 47.42 18.12 38.65
99.14 110.38 82.84 105.29 82.83 23.12 16.86 76.73 78.96 20.74 46.19 13.07 30.99 33.75 133.42 43.63 41.31 10.88 35.60 86.90 114.17 76.41 230.71 128.68 46.27 93.75 15.35 64.07 291.56 16.31 54.15 18.40 19.07 19.56 132.84 33.59 35.04 87.07 35.39 27.25 51.24 43.33 27.68 21.29 11.84 53.53 34.62 26.99 48.34 18.46 38.66
98.90 111.75 81.42 105.44 84.10 23.24 17.47 75.77 81.44 20.71 46.14 12.72 30.81 34.13 131.48 43.98 42.19 10.73 34.48 85.66 112.78 78.75 230.17 129.16 44.22 91.23 15.15 63.53 296.79 16.22 54.26 18.49 18.76 19.88 131.99 32.72 34.77 83.77 36.26 27.29 49.47 44.20 27.47 20.99 12.00 55.55 34.50 27.38 48.38 17.89 37.43
99.40 114.34 81.30 104.73 84.72 23.20 18.33 74.19 80.20 21.29 47.84 12.37 30.59 33.84 131.78 44.16 42.55 10.40 33.95 85.67 116.18 82.71 226.63 129.34 45.20 90.70 15.06 63.21 301.26 16.20 52.81 18.29 19.09 20.36 132.57 34.27 35.35 86.23 36.11 27.65 49.95 44.72 27.50 21.05 11.95 55.33 34.32 28.14 48.39 17.80 37.09
98.79 118.07 83.22 105.82 85.52 22.51 17.63 74.08 79.96 21.54 46.72 12.21 29.95 33.90 129.75 42.88 42.84 10.61 32.64 83.69 116.61 84.22 222.44 129.92 42.86 92.83 15.30 62.52 306.13 15.46 50.96 18.09 18.60 20.04 131.19 33.03 34.58 85.83 35.48 27.94 52.11 44.15 27.65 21.15 11.98 55.91 34.59 28.47 47.86 17.55 36.80
99.60 114.11 81.31 108.37 86.72 23.13 17.79 73.82 78.81 22.28 47.55 12.06 28.94 33.49 129.42 43.33 43.59 10.89 32.42 82.70 120.61 81.82 226.65 128.75 42.32 93.44 15.51 60.75 315.30 16.12 52.48 18.44 18.69 20.00 132.64 34.51 34.56 85.55 37.20 28.63 50.79 44.79 27.47 21.18 11.97 58.16 34.86 29.08 48.06 17.67 38.54
100.63 116.61 81.86 107.35 89.82 23.51 18.11 72.45 80.98 22.12 46.66 12.12 28.92 33.44 126.64 45.33 44.85 10.86 32.36 84.01 127.55 86.97 231.07 128.45 42.89 95.36 15.97 60.80 313.66 16.10 53.38 18.31 18.91 19.75 132.26 35.49 35.06 92.53 36.25 30.33 50.11 45.61 27.52 21.45 11.93 57.44 34.76 28.74 48.69 17.75 40.05
